Date,Time,Position Name,Position Type,Company Name,Status,Location,Action Period,CV_CL_RL_CR
23.07.2025,19:30,Data Scientist,Data Science,Company 159,Not selected,Berlin,1.0,1100.0
23.07.2025,20:55,Junior Data Analyst,Data Analysis,Company 160,Not selected,Berlin,14.0,1011.0
24.07.2025,22:00,AI Research Engineer,Machine Learning,Company 161,Not selected,Berlin,4.0,1000.0
24.07.2025,22:10,Junior Operations Specialist Asset Management ,Data Science,Company 126,Not selected,Berlin,50.0,1100.0
25.07.2025,18:50,Junior Data Engineer / Process Manager,Data Engineer,Company 120,Not selected,Mannheim,12.0,1000.0
27.07.2025,11:25,Data Scientist,Data Science,Company 92,Waiting,Berlin,,1011.0
27.07.2025,11:30,Data Scientist,Data Science,Company 162,Waiting,Berlin,,1000.0
28.07.2025,0:15,Data Scientist,Data Science,Company 163,Not selected,Berlin,8.0,1100.0
28.07.2025,0:25,Python Developer and Machine Learning,Machine Learning,Company 164,Waiting,Berlin,,1100.0
28.07.2025,0:35,Machine Learning Operations Engineer ,Machine Learning,Company 165,Not selected,Berlin,4.0,1100.0
29.07.2025,8:50,Python Developer / Data Analysis / Data Science,Data Science,Company 166,Waiting,Berlin,,1111.0
29.07.2025,9:00,Data Scientist,Data Science,Company 167,Waiting,Berlin,,1000.0
29.07.2025,9:05,"Applied Scientist, AGI, AGI Information",Data Science,Company 109,Not selected,Berlin,0.0,1000.0
29.07.2025,9:25,Junior Sustainability DA | Researcher | DE,Data Science,Company 168,Not selected,Berlin,0.0,1100.0
30.07.2025,8:30,AI Compliance Specialist,Developer,Company 169,Not selected,Berlin,6.0,1010.0
30.07.2025,8:40,Data Analyst,Data Analysis,Company 170,Waiting,Berlin,,1100.0
30.07.2025,10:30,"Data Analyst, Client Onboarding",Data Analysis,Company 155,Not selected,Berlin,6.0,1011.0
30.07.2025,11:10,Data Scientist,Data Science,Company 155,Not selected,Berlin,6.0,1011.0
30.07.2025,14:50,Data Science in R&D,Data Science,Company 171,Not selected,Neuss,27.0,1011.0
31.07.2025,8:00,Data Analyst,Data Analysis,Company 172,Not selected,Stuttgart,7.0,1100.0
31.07.2025,8:05,Catalog Specialist ,Developer,Company 52,Not selected,Berlin,8.0,1000.0
31.07.2025,8:10,Analytics Engineer / Data Generalist,Data Engineer,Company 106,Not selected,Munich,7.0,1000.0
31.07.2025,8:35,Decision Science (Data Analyst),Data Science,Company 59,Waiting,Berlin,,1000.0
31.07.2025,10:15,Junior Payment Analyst,Data Analysis,Company 173,Waiting,Berlin,,1000.0
31.07.2025,14:00,Product Data Analyst,Data Analysis,Company 174,Not selected,Berlin,4.0,1100.0
01.08.2025,0:45,Associated Data Scientist,Data Science,Company 4,Not selected,Berlin,26.0,1000.0
02.08.2025,0:10,Junior Machine Learning Engineer,Machine Learning,Company 175,Not selected,Berlin,39.0,1110.0
03.08.2025,9:30,Operations Specialist,Data Science,Company 176,Not selected,Berlin,2.0,1000.0
03.08.2025,20:40,Data Analyst,Data Analysis,Company 177,Not selected,Mannheim,18.0,1100.0
06.08.2025,20:40,AI Integrations Developer,Data Science,Company 178,Not selected,Berlin,12.0,1100.0
06.08.2025,20:45,Analytics Engineer,Data Engineer,Company 77,Not selected,Berlin,2.0,1000.0
06.08.2025,21:10,Data Scientist,Data Science,Company 179,Not selected,Berlin,5.0,1100.0
06.08.2025,21:15,(Junior) Machine Learning Engineer ,Machine Learning,Company 180,Not selected,Berlin,7.0,1010.0
06.08.2025,21:35,Mobile Application Test Engineers,Developer,Company 70,Waiting,Berlin,,1010.0
07.08.2025,22:35,Data Analyst,Data Analysis,Company 181,Not selected,Munich,5.0,1111.0
08.08.2025,21:45,Junior Content Data Manager - Fashion Studios,Data Engineer,Company 27,Not selected,Berlin,3.0,1010.0
08.08.2025,22:10,Applied Machine Learning Engineer,Machine Learning,Company 182,Not selected,Göttingen,25.0,1111.0
08.08.2025,22:35,Software Engineer Tasking,Developer,Company 183,Not selected,Berlin,26.0,1100.0
08.08.2025,22:45,Software Engineer in Test,Developer,Company 184,Not selected,Berlin,12.0,1000.0
09.08.2025,11:30,AI Media Engineer,Data Science,Company 185,Not selected,Berlin,3.0,1110.0
11.08.2025,13:55,ML Engineer - Data Scientist - LLM Agents,Machine Learning,Company 96,Not selected,Berlin,24.0,1011.0
11.08.2025,14:05,Data Scientist - Antifraud,Data Science,Company 4,Waiting,Berlin,,1100.0
11.08.2025,14:20,Operations Specialist,Data Science,Company 52,Not selected,Berlin,2.0,1100.0
11.08.2025,14:40,Sales Data & Insights Specialist ,Data Analysis,Company 126,Not selected,Berlin,3.0,1100.0
12.08.2025,9:00,Software-Engineer Data Science,Data Science,Company 186,Waiting,Friedrichhafen,,1000.0
13.08.2025,9:30,Junior Power BI Analyst,Data Analysis,Company 187,Waiting,Berlin,,1100.0
13.08.2025,9:50,(Senior) Data Quality Developer,Data Science,Company 188,Not selected,Mülheim,30.0,1011.0
14.08.2025,9:55,Data Visualization Engineer,Data Analysis,Company 189,Waiting,Berlin,,1110.0
14.08.2025,10:15,AI Workflow Engineer,Data Engineer,Company 190,Waiting,Munich,,1000.0
15.08.2025,14:15,Financial  Data Scientist,Data Science,Company 191,Not selected,Berlin,7.0,1000.0
16.08.2025,15:35,Applied Data Science Engineer,Data Science,Company 89,Not selected,Berlin,14.0,1100.0
16.08.2025,17:40,Data Analyst,Data Analysis,Company 132,Not selected,Berlin,5.0,1110.0
17.08.2025,20:40,Junior Business Intelligenece Engineer,Data Analysis,Company 157,Not selected,Berlin,4.0,1111.0
18.08.2025,16:10,Data Scientist,Data Science,Company 192,Not selected,Munich,9.0,1000.0
18.08.2025,16:20,Software Engineering Consultant,Developer,Company 193,Not selected,Hamburg,9.0,1111.0
19.08.2025,19:40,Software Engineer,Developer,Company 194,Waiting,Berlin,,1100.0
